Job_title,Employer,City,Contract,Position,Mode,Recrutation,Required_technologies,Optional_technologies,Responsibilities,Requirement
Data Scientist - Orange Graduate Program,Orange Polska,Warszawa,['contract of employment'],['junior specialist (Junior)'],['hybrid work'],['remote recruitment'],['Python'],,"['Design and implementation of artificial intelligence (AI) algorithms using the most appropriate machine learning (ML) techniques for telecommunications networks', 'Creating prototypes and industrial solutions for selected use cases', 'Evaluation of the efficiency of the proposed algorithms and solutions', 'Cooperation with data teams to build scalable data flows and deploy your models in production', ""Participation in 4-year International development programme within Orange Group starting from 1st October 2022, consecutively: 1-2 year employment in Orange Polska and afterwards 2-3-year work experience abroad within Orange Group's companies"", 'Involvement in international projects which have significant impact on business']","['Willingness to leave Poland for 2-3 years period (a year or two after joining the Programme)', ""Technical Universities graduates with master's degree diploma obtained in 2020, 2021, 2022 or Senior-Year students to obtain diploma by 30th September 2022"", 'Python 3.7+ programming with specialization in data processing', 'Medium level experience on data processing with the use of ML methods (including neural networks)', 'Basic/medium experience with virtualization technologies data analysis and data processing technologies (e.g. Spark, HDFS, Elastic Search, JupyterHub) and cloud solutions (e.g. Google cloud Platform, Amazon Web Services, Microsoft Azure)', 'English proficiency (B2/C1 level)', 'Knowledge of French will be an additional asset']"
Software Network Engineer - Orange Graduate Program,Orange Polska,Warszawa,['contract of employment'],['junior specialist (Junior)'],['hybrid work'],['remote recruitment'],"['Python', 'Go', 'Linux', 'Bash', 'Kubernetes', 'Docker', 'OpenStack']",,"['Creating prototypes of cloud-native infrastructure for 5G/6G', 'Development new features for Multi-Access Edge Computing (MEC), especially Edge Relocation Mechanisms', 'Development of open-source CNCF projects: Kubernetes, ONAP', ""Participation in 4-year International development programme within Orange Group starting from 1st October 2022, consecutively: 1-2 year employment in Orange Polska and afterwards 2-3-year work experience abroad within Orange Group's companies"", 'Involvement in international projects which have significant impact on business']","['Willingness to leave Poland for 2-3 years period (a year or two after joining the Programme)', ""Technical Universities graduates with master's degree diploma obtained in 2020, 2021, 2022, Senior-Year students to obtain diploma by 30th September 2022"", 'Deep knowledge of 5G Network and Network Function Virtualization (NFV)', 'Programming experience in Python or Go + DevOps skills (Linux, bash)', 'Experience with virtualization technologies: Kubernetes, Docker, OpenStack', 'English proficiency (B2/C1 level)', 'Knowledge of French will be an additional asset']"
Junior Analyst/Młodszy Analityk,Gibbs Hybrid (Poland) Sp. z o.o.,Wrocław,['contract of employment'],"['assistant', 'junior specialist (Junior)']","['home office work', 'hybrid work']",['remote recruitment'],['Python'],,"['Deciphers moderately complex exceptions, performing root-cause analysis; enters reconciliation data and ensures proper aging. Assists more junior level support staff in identifying more complex differences.', 'Communicates moderately complex break reports to either internal groups within the firm or correspondents outside the firm. Monitors resolution. Assists more junior teammates when difficult exceptions are to be identified.', 'Leverages an in-depth of understanding of the business in order to assure that adjustments are made correctly.', 'Assists in daily, weekly and monthly reporting using an understanding of the stock record and knowledge of basic accounting.']","['Good English', 'Bachelor’s / Master’s degree in an finance related discipline', 'Expertise in Microsoft Excel, VBA proficiency, Python, or Xceptor experience a plus', 'Good communication skills', 'Ability to work as part of the team', 'Ability to work under time pressure and deadlines', 'Attention to details', 'Analytical thinking', 'Able to resolve issues independently']"
 Specjalista ds. cyfryzacji ,Greiner Packaging Sp. z o.o.,Grodzisk Mazowiecki,['umowa o pracę'],['młodszy specjalista (Junior)'],['praca hybrydowa'],,"['Power BI', 'Power Apps', 'Power Automate', 'SharePoint', 'SQL']","['Python, R']","['Tworzenie i wdrażanie rozwiązań związanych z digitalizacją procesów w środowisku Microsoft Power Platform: Power BI, Power Apps, Power Automate oraz Sharepoint', 'Współpraca przy analizie, modelowaniu i optymalizacji procesów biznesowych w zgodzie z zasadami lean management przed ich cyfryzacją', 'Opieka nad portfolio ww. rozwiązań; aktywne poszukiwanie rozwiązań kreujących wartość biznesową', 'Gromadzenie danych z wykorzystaniem rozwiązań chmurowych i bazodanowych', 'Analiza danych oraz tworzenie algorytmów', 'Projektowanie i wdrażanie systemów zbierania danych', 'Współpraca i sprawozdawczość w międzynarodowych zespołach projektowych']","['Wykształcenie wyższe, profil Inżynieria Produkcji. Jesteśmy otwarci na nawiązanie współpracy ze studentami ostatniego roku tego kierunku.', 'Podstawowa znajomość SQL', 'Znajomość rozwiązań Power BI, Power Apps, Power Automate, Sharepoint', 'Umiejętność logicznej i czytelnej wizualizacji danych', 'Znajomość języka angielskiego umożliwiająca płynną komunikację w międzynarodowych zespołach', 'Znajomość przynajmniej jednego języka programowania i podstawowych koncepcji programistycznych', 'znajomość zagadnień i narzędzi data science: techniki uczenia maszynowego, języków programowania Python, R']"
Młodszy Inżynier ds. Analiz Przepływu Ciepła ,MTU Aero Engines Polska Sp. z o.o.,Tajęcina (pow. rzeszowski),['umowa o pracę'],['młodszy specjalista (Junior)'],['praca hybrydowa'],,,,"['Codzienna praca w międzynarodowym zespole inżynierów nad optymalizacją i rozwojem komponentów silników lotniczych,', 'Przygotowywanie modeli komponentów do analiz numerycznych przepływu ciepła (modele 2D i 3D), przeprowadzanie analiz, opracowywanie i analiza wyników obliczeń oraz tworzenie dokumentacji, prezentowanie wyników,', 'Odpowiedzialność ze strony dyscypliny przepływu ciepła za poszczególne komponenty różnych linii silnikowych', 'Wspieranie badań eksperymentalnych analizami numerycznymi,', 'Praca nad rozwojem metod, narzędzi i procesów wykorzystywanych do analiz przepływu ciepła.']","['Wykształcenie wyższe techniczne na kierunku Mechanika i Budowa Maszyn, Lotnictwo, Energetyka lub pokrewnym,', 'Znajomość zagadnień z zakresu przepływu ciepła, i analiz termicznych (MES, CFD),', 'Doświadczenie zdobyte w czasie stażów studenckich', 'Bardzo dobra znajomość języka angielskiego pozwalająca na swobodną komunikację w mowie i piśmie,', 'Mile widziana znajomość programów Patran i HyperMesh, oraz umiejętność programowania (Python, C++)', 'Umiejętność pracy w środowisku Unix i Windows,', 'Umiejętność pracy w zespole, otwartość, komunikatywność']"
Badacz Danych - Orange Graduate Program,Orange Polska,Warszawa,['umowa o pracę'],['młodszy specjalista (Junior)'],['praca hybrydowa'],['rekrutacja zdalna'],"['Pyton', 'SAS', 'Power BI']",,"['Sporządzanie biznesowych analiz predykcyjnych z wykorzystaniem zaawansowanych narzędzi analitycznych', 'Współpraca z Marketingiem i Sprzedażą w zakresie generowania wartości dla klientów i dla firmy', 'Budowanie modeli predykcyjnych dla złożonych zjawisk takich jak modele popytowe i scoringi antychurnowe', 'Analizowanie dużych zbiorów danych', 'Doradztwo eksperckie na rzecz kampanii marketingowych w zakresie produktu', 'Kreowanie nowych rozwiązań oraz inspirowanie innych', 'Doradztwo i rekomendacje w zakresie rozwoju narzędzi analitycznych BI oraz uczestnictwo w projektach i programach realizowanych na rzecz budowy i rozwoju narzędzi analitycznych', 'Zaangażowanie w międzynarodowe projekty, które mają realny wpływ na biznes']","['Doświadczenie w pracy z analizą danych, w tym w analizie predykcyjnej.', 'Znajomość klasycznych algorytmów uczenia maszynowego, oraz umiejętnego ich zastosowania', 'Doświadczenie w programowaniu w języku Python', 'Znajomość zagadnień bazodanowych (w tym optymalizacja przetwarzań).', 'Umiejętność wizualizacji danych w Power BI', 'Znajomość systemu Linux, SAS 4GL pozwalająca na swobodną pracę w tym środowisku', 'Gotowość na wyjazd z Polski na 2-3 lata (po roku lub dwóch od dołączenia do Programu)', 'Student lub absolwent politechniki lub uczelni technicznej z dyplomem magistra uzyskanym w 2020, 2021, 2022 lub do 30 września 2022 roku', 'Biegła znajomość języka angielskiego (poziom B2/C1)', 'Znajomość języka francuskiego będzie dodatkowym atutem']"
Junior DevOps Engineer,Asseco Poland S.A.,Katowice,"['umowa o pracę', 'umowa zlecenie']","['specjalista (Mid / Regular)', 'młodszy specjalista (Junior)']",['praca hybrydowa'],['rekrutacja zdalna'],['Java'],"['Jenkins', 'Artifactory', 'Ansible', 'Git', 'Docker', 'OpenShift', 'Jira', 'Nexus', 'Python']","['Rozwój i administracja linii CI/CD (Jenkins, Docker, OpenShift, Ansible, Artifactory, Nexus)', 'Wspieranie zespołów scrumowych w rozwijaniu i utrzymywaniu narzędzi, z których korzystają', 'Proponowanie i wdrażanie własnych pomysłów opartych o najnowocześniejsze rozwiązania na rynku', 'Opracowywanie dokumentacji wdrożonych rozwiązań', 'Raportowanie oraz obsługa incydentów w JIRA']","['Wykształcenie wyższe (informatyczne lub pokrewne) lub ostatni rok studiów', 'Podstawowa znajomość programowania, preferowane języki: Java i/lub JavaScript', 'Znajomość relacyjnych baz danych', 'Umiejętność pracy w zespole', 'Gotowość do pracy na pełen etat - warunek konieczny', 'Bezkonfliktowość, otwartość i zaangażowanie', 'Umiejętność precyzyjnego formułowania wypowiedzi', 'Jenkins, Artifactory, Ansible, Git, Docker, OpenShift, Jira, Nexus, shell scripting', 'Znajomość systemu UNIX, z/OS']"
Junior Systems Engineer/DevOps,Lufthansa Systems,Gdańsk,"['contract of employment', 'B2B contract']","['specialist (Mid / Regular)', 'junior specialist (Junior)']",['hybrid work'],['remote recruitment'],"['DevOps', 'Bash', 'Go', 'Ruby', 'Python', 'Docker', 'Kubernetes', 'Jenkins', 'Azure DevOps']","['Terraform', 'Ansible', 'Kafka', 'Elasticsearch']","['We are looking for Junior Systems Engineers/DevOps who will become a part of the Agile Team that creates and supports pipelines, fixes the deployments and maintains the monitoring systems. DevOps Engineer on that position will closely cooperate with Development and Operation Teams across the whole Lufthansa Group. Using the latest technologies in Cloud and containerisation they will participate in Digitalisation process of Group Airlines in Digital Delivery Lab, leading Digitalisation division in Lufthansa Group.\u200b']","['At least 2 years of experience in DevOps positions creating, maintaining, supporting pipelines,', 'Knowledge of at least one of the OS ecosystems: Windows, Linux,', 'Scripting in at least one language: Bash, Go, Ruby, Python,', 'Basic understanding of containerisation (Docker or Kubernetes),', 'Knowledge of at least one of CI/CD ecosystems: Jenkins or Azure DevOps,', 'Creativity, responsibility and teamwork ability,', 'Readiness to learn,', 'Very good command in English\u200b.', 'Knowledge of automatisation tools like: Terraform, Ansible would be an advantage,', 'Basic experience in the Cloud environment (Azure/Google),', 'Knowledge of ElasticSearch or Kafka will be nice to have\u200b.']"
Młodszy Analityk ds. Modelowania ,Compensa Towarzystwo Ubezpieczeń S.A. Vienna Insurance Group,Warszawa,['umowa o pracę'],['młodszy specjalista (Junior)'],['praca hybrydowa'],['rekrutacja zdalna'],['SQL'],['Python'],"['Przygotowanie oraz analiza danych do tworzenia modeli statystycznych', 'Udział w tworzeniu modeli predykcyjnych przy użyciu GLM oraz Machine Learning oraz ich kalibracji', 'Poszukiwanie nowych zmiennych i interakcji', 'Wspieranie tworzenia raportów i statystyk dotyczących jakości portfela', 'Przetwarzanie danych polisowych i szkodowych na potrzeby dalszych analiz i modelowania']","['Bardzo dobra znajomość MS Excel', 'Znajomość SQL', 'Znajomość Python, Data Bricks, Jupyter Notebook oraz narzędzi dedykowanych ubezpieczeniom (Emblem, Radar, Earnix, Akur8) będzie dodatkowym atutem', 'Dobra znajomość języka angielskiego', 'Umiejętność pracy w zespole']"
Junior RPA Developer,TDJ Sp. z o.o.,Katowice,['umowa o pracę'],['młodszy specjalista (Junior)'],['praca hybrydowa'],,,"['VBA', 'UiPath', 'Python', 'Microsoft Power Automate']","['Prowadzenie projektów automatyzacji procesów biznesowych przy użyciu technologii RPA (projektowanie, rozwój i wdrażanie robotów) – stały kontakt z klientem na każdym etapie projektu', 'Tworzenie specyfikacji technicznej robota - SDD', 'Testowanie i przygotowywanie procedur wdrażania robotów', 'Zapewnienie bieżącego wsparcia operacyjnego w ramach SLA, w tym aktualizacja, usuwanie usterek i utrzymanie istniejących robotów', 'Udział w projekcie przejęcia robotów od zewnętrznego dostawcy w celu dalszego rozwoju i utrzymania', 'Zarządzanie platformą RPA (orkiestracja, użytkownicy, uprawnienia)']","['Wykształcenie średnie lub wyższe (informatyka i kierunki pokrewne)', 'Min. 2 zrealizowane projekty RPA działające produkcyjnie', 'Znajomości technologii i procesów automatyzacji - biegłość w min. jednej z technologii: Microsoft Power Automate, UiPath, WinAutomation, Automation Anywhere', 'Znajomość min. jednego języka programowania w stopniu podstawowym (mile widziane Python, VBA)', 'Doskonałe zdolności analityczne oraz logicznego myślenia', 'Umiejętności pracy w zespole, chęci uczenia się, otwartości na zmiany oraz umiejętności szybkiego dostosowania się do nowych technologii i rozwiązań', 'Znajomość języka angielskiego w stopniu komunikatywnym', 'Posiadanie doświadczenia w przynajmniej jednym z obszarów: SSC, BPO, Finanse, Logistyka, Produkcja, Zakupy, ERP', ""Stworzenie lub utrzymywanie min. jednej aplikacji backend'owej (np. Node.js & Express) lub frontend'owej (np. React.js)"", 'Udział w projekcie przejęcia robotów od zewnętrznego dostawcy', 'Zarządzanie infrastrukturą niezbędną do działania projektów RPA']"
Junior Systems Engineer / Cloud,Lufthansa Systems,Gdańsk,"['contract of employment', 'B2B contract']","['specialist (Mid / Regular)', 'junior specialist (Junior)']",['hybrid work'],['remote recruitment'],"['Cloud', 'Azure', 'PowerShell']","['Ansible', 'Terraform', 'Kibana', 'Grafana']","['A person in this position will be responsible for the setup of the', 'Cloud infrastructure, both for new Cloud Projects and Cloud Migration', 'Projects, as well; management and troubleshooting of the environments', 'located in Cloud. The person will be working as a part of Agile Team to', 'complete the design, security, build test and release of new technology', 'capabilities. Cooperation with 24/7 teams and with the other project teams', 'within Lufthansa Group. Participation in innovative projects within LH Group', '(Lufthansa, Swiss, Austrian, Brussels Airlines).']","['Higher education - IT profile is preferred,', 'Knowledge of cloud solutions with focus on MS Azure,', 'Practical knowledge of MS Windows Server operating systems,', 'Experience in scripting languages (e.g., PowerShell, Azure CLI),', 'Creativity, responsibility and teamwork ability,', 'Readiness to learn,', 'Very good command in English (spoken/written).', 'Experience in MS Azure cloud platform', 'Experience in Active Directory and Azure Active Directory,', 'Practical experience in automatization tools (Ansible, Terraform)', 'Working in ITIL oriented environment,', 'Experience in monitoring/logging tools (Kibana, Grafana)']"
CRM Analyst,Nationale-Nederlanden,Warszawa,['umowa o pracę'],"['specjalista (Mid / Regular)', 'młodszy specjalista (Junior)']",['praca hybrydowa'],['rekrutacja zdalna'],,,"['Przygotowywanie kampanii od strony analityczno-bazodanowej', 'Konfiguracja kampanii w Customter Intelligence Studio', 'Przeprowadzanie analiz wykorzystujących różne źródła danych', 'Przygotowywanie i wdrażanie modeli analitycznych na potrzeby prowadzonych działań we wszystkich kanałach kontaktu z klientami', 'Przekładanie potrzeb biznesowych na projekty analityczne']","['Posiadasz wykształcenie wyższe (analizy danych, matematyka, statystyka, kierunki politechniczne)', 'Masz doświadczenie w obszarze analiz i baz danych', 'Masz doświadczenie w samodzielnym prowadzeniu projektów analitycznych', 'Wykazujesz się znajomością relacyjnych baz danych, języka SQL, środowiska MS SQL Server', 'Znajomość Python/SAS CI Studio – mile widziana', 'Wykazujesz się umiejętnością modelowania danych, analiz statystycznych', 'Masz doświadczenie w wykorzystywaniu danych z różnych źródeł', 'Wykazujesz się poszukiwaniem i kreowaniem nowych rozwiązań, orientacją na zmianę', 'Znasz język angielski']"
JIRA Service Desk Junior Specialist,EcoVadis Polska Sp. z o. o.,Warszawa,['contract of employment'],['junior specialist (Junior)'],['hybrid work'],['remote recruitment'],"['JIRA', 'API', 'Python', 'ITIL']",,"['Together with Service Desk Lead working on designing, analysing and developing workflows; building custom applications; developing mechanisms to automate manual processes', 'Provide assistance and advice in discussions regarding JIRA, especially as new implications arise in the environment with internal users accessing the current and new instance and learn to be the Subject Matter Expert', 'Creating and maintaining technical and/or user facing documentation for training', 'Partnering with various team leaders and project leads to implement consistent process and usage of JIRA', 'Develop strong understanding of tools integrated with JIRA (AAD, TFS, Confluence, Google Workspace...)', 'Partner with IT and Security teams to ensure roles, profiles, permissions, and provisioning are streamlined and built for scale', 'Assist the Service Desk Lead in his daily operational tasks', 'Helping to strengthen use and adoption of Jira tools (JSM and confluence among others) following best practises and scalable strategies', 'Serve as a subject matter expert on Jira to field questions and provide hands-on support to different teams as they move forward with adoption of Jira tools and practises', 'Develop effective dashboards and reporting to support leadership and project teams', 'Sharing best practices to help guide teams to technical excellence in using Jira and related technologies', 'Animate workshops related to Service management and JIRA tools as may be required or assisting the Service Desk Lead in doing so', 'Identify and build relationships with the key stakeholders and teams to foster collaboration in working to solutions', 'Help with defining the vision and strategy of JIRA tools within the organisation', 'Implement reporting and dashboards using BI tools']","['At least 1year experience as JIRA Administrator', 'Experience working with schemas, workflow and schemes on JIRA', 'Able to assist in translating business needs to JIRA projects', 'A desire to be a team player for working in highly collaborative environments', 'Experience with agile principles and project management methodologies would be a plus', 'Self-motivated, creative, results driven, solution oriented, driven to succeed. Able to work around ‘blockers’ with teams and help the Service Desk Lead come up with long-term solutions', 'Good level of accuracy and attention to detail', 'Organised and able to manage projects', 'Ability to learn new systems and technology quickly', 'Excellent English written and verbal communication skills', 'Degree in Information Technology, Business, Computer Science, or other related field', 'Experience working with API and Python is a plus', 'Jira and/or ITIL certifications is a plus', 'Experience working with Confluence, OpsGenie and other Atlassian tools are a plus', 'Experience working on BI tools is a plus']"
Młodszy Specjalista w Departamencie Taryfikacji,InterRisk Towarzystwo Ubezpieczeń Spółka Akcyjna Vienna Insurance Group,Warszawa,['umowa o pracę'],"['specjalista (Mid / Regular)', 'młodszy specjalista (Junior)']",['praca hybrydowa'],['rekrutacja zdalna'],,,"['Wsparcie zespołu w zakresie ustalania taryfy składek ubezpieczeń komunikacyjnych', 'Udział w procesie budowy i rozwoju modeli ryzyka w ubezpieczeniach komunikacyjnych', 'Przygotowanie i walidacja danych - hipotez statycznych i underwritingowych', 'Przeprowadzanie i ocena poprawności, adekwatności prognoz modelowych', 'Udział w procesie implementacji modeli w aktualnej taryfie handlowej']","['Wykształcenie wyższe lub w trakcie nauki na V roku studiów (preferowane w zakresie matematyki i nauk informacyjnych)', 'Chęć rozwoju w obszarze taryfikacji ubezpieczeń komunikacyjnych', 'Podstawowe umiejętności w zakresie SQL, R/Python', 'Zdolności analityczne', 'Samodzielność oraz umiejętności organizacji pracy własnej', 'Pierwsze doświadczenia związane z pracą na stanowiskach analitycznych lub aktuarialnych', 'Znajomość zagadnień matematyki ubezpieczeniowej']"
Junior Product Support Representative,FIS Technology Services Poland Sp. z o.o.,Wrocław,['contract of employment'],['junior specialist (Junior)'],['hybrid work'],['remote recruitment'],,,"['Provide in-depth product support to FIS clients by resolving incoming inquiries.', 'Respond to customer product inquiries via telephone or in written internet-based email', 'or chat sessions.', 'Troubleshoot problems with malfunctioning software applications and recommends corrective action.', 'Document customer information and recurring technical issues to support product quality programs and product development.', 'Recreate and resolve client issues in test environment, Identifies/documents how applications', 'and systems interact to support business processes.']","['BA or MA degree in: Computer Science, Finance, Math, Business, Management,', 'Economics or similar', 'Fluency in English – speaking and writing', 'Finance and/or Accounting qualifications/experience is beneficial', 'Computer/technical literacy (Microsoft Office: Word, Excel, Power Point and Project)', 'Excellent written, verbal and inter-personal communication skills', 'Analytical and problem-solving skills', 'Strong desire to learn the products, processes and related industries', 'Ability to deal with high pressure situations and incidents', 'Team player and willing to progress in a rapidly changing environment', 'Highly motivated and keen to succeed']"
Młodszy programista Java - testy automatyczne,Qualent Sp.zo.o Sp.k,Warszawa,"['umowa o pracę', 'umowa zlecenie', 'kontrakt B2B']",['młodszy specjalista (Junior)'],['praca zdalna'],['rekrutacja zdalna'],,,"['udział w projektowaniu i implementacji nowych produktów', 'uczestniczymy w całym cyklu wytwarzania oprogramowania (od analizy wymagań do wdrożenia)', 'mamy możliwość wpływu na zmiany technologiczne, wdrażanie dobrych praktyk i standardów dla poszczególnych aspektów wytwarzania oprogramowania', 'uczestnictwo w wytwarzaniu responsywnych i nowoczesnych aplikacji Java', 'testowanie aplikacji', 'praca zgodna z metodyką Scrum', 'Selenium WebDriver / Postman/ Cypress/ TeamCity, Jira, Java / C# / Python / JavaScript']","['Doświadczenie komercyjne w pracy na stanowisku testera automatycznego', 'podstawowa umiejętność programowania w Javie - min. 1 rok doświadczenia', 'Praktyczna znajomość min. jednego z narzędzi: Selenium Test Complete/Robot Framework/J-Unit/ Jenkins', 'Komunikatywność i zaangażowanie']"
Junior Python Developer,IMS r&d Sp. z o.o.,Kraków,"['umowa o pracę', 'kontrakt B2B']","['specjalista (Mid / Regular)', 'młodszy specjalista (Junior)']",['praca hybrydowa'],,"['Django', 'PostgreSQL', 'Python', 'Git']","['PHP', 'CSS', 'JavaScript']","['Tworzenie i rozwój aplikacji w języku Python / Django', 'Udział w rozwijaniu i utrzymaniu wdrożonych aplikacji', 'Rozwijanie oprogramowania narzędziowego i aplikacji Klienta', 'Praca z bazami danych PostgreSQL', 'Kontrolowanie jakość kodu, sugerowanie zmian optymalizacyjnych', 'Tworzenie dokumentacji technicznej']","['Dobra znajomość Python 2.7 i 3.6', 'Dobra znajomość frameworku Django', 'Dobra znajomość PostgreSQL', 'Znajomości linii komend Linux', 'Znajomość systemu kontroli wersji Git', 'Mile widziana znajomość PHP', 'Mile widziana znajomość CSS / HTML / JavaScript', 'Kreatywność, samodzielność i elastyczność w rozwiązywaniu problemów', 'Otwartość i umiejętność pracy w zespole', 'Dobra organizacja pracy', 'Znajomości języka angielskiego na poziomie umożliwiającym czytanie dokumentacji technicznej']"
Junior Java Developer,Lufthansa Systems,Gdańsk,"['contract of employment', 'B2B contract']",['junior specialist (Junior)'],"['home office work', 'hybrid work']",['remote recruitment'],"['Java', 'Git', 'CI/CD', 'Maven']","['Python', 'Jira', 'RESTful']","['You will create and maintain services for frontend pages, communication with external systems']","['Experience in Java programming,', 'Practical knowledge of design patterns and good practices of coding,', 'Expertise in software quality assurance,', 'Working knowledge of modern development tools and processes (Git, CI/CD, Maven),', 'Very good command of English language.', 'Knowledge of software development processes,', 'Work experience in international environment,', 'Knowledge of Java, Python and other programming languages,', 'Spring experience', 'Knowledge of building microservices', 'Knowledge of building RESTful services', 'Experience working with JIRA or similar issue tracking tools']"
